year;BAR.NOED.1519.FE.ZS;BAR.NOED.1519.ZS;BAR.PRM.CMPT.1519.FE.ZS;BAR.PRM.CMPT.1519.ZS;BAR.SEC.CMPT.2024.FE.ZS;BAR.SEC.CMPT.2024.ZS;BAR.TER.CMPT.25UP.FE.ZS;BAR.TER.CMPT.25UP.ZS;LO.PIRLS.REA.HI;LO.PIRLS.REA.INT;LO.PIRLS.REA.LOW;SE.PRM.UNER.ZS;SE.SEC.UNER.LO.ZS;GPI_NOED_1519;GPI_PRM_1519;GPI_SEC_2024;GPI_TER_25UP
1960;34.0;35.4;23.7;22.6;5.91;6.61;0.2;0.38;;;;;;0.96045197740113;1.0486725663716814;0.8940998487140696;0.5263157894736842
1965;30.27;33.7;16.18;18.13;6.4;7.5;0.22;0.42;;;;;;0.8982195845697328;0.8924434638720353;0.8533333333333334;0.5238095238095238
1970;28.0;29.42;8.6;12.89;9.1;10.3;0.22;0.45;;;;32.2471504211426;;0.9517335146159075;0.6671838634600465;0.8834951456310679;0.4888888888888889
1975;20.08;22.47;9.35;15.92;8.08;9.12;0.18;0.3;;;;;;0.8936359590565198;0.5873115577889447;0.8859649122807018;0.6
1980;11.32;13.65;9.16;20.99;7.31;12.59;0.14;0.18;;;;;;0.8293040293040294;0.4363982848975703;0.5806195393169181;0.7777777777777779
1985;7.8;7.6;14.9;14.3;4.5;3.8;0.08;0.23;;;;;;1.0263157894736843;1.0419580419580419;1.1842105263157896;0.34782608695652173
1990;5.97;6.19;31.22;27.33;16.81;15.99;0.25;0.48;;;;;;0.9644588045234248;1.1423344310281742;1.051282051282051;0.5208333333333334
1991;;;;;;;;;;;;14.2667999267578;;;;;
1994;;;;;;;;;;;;16.5084400177002;7.57072019577026;;;;
1995;2.19;2.3;28.42;28.93;43.5;42.72;0.45;0.79;;;;17.9855899810791;;0.9521739130434783;0.9823712409263741;1.0182584269662922;0.569620253164557
1998;;;;;;;;;;;;18.1836109161377;;;;;
1999;;;;;;;;;;;;16.9053192138672;22.1078205108643;;;;
2000;3.13;3.07;10.81;11.89;32.82;31.89;0.43;0.72;;;;17.7876796722412;24.1206398010254;1.019543973941368;0.9091673675357443;1.0291627469426152;0.5972222222222222
2001;;;;;;;;;;;;16.6883201599121;25.1278305053711;;;;
2002;;;;;;;;;;;;15.1361598968506;22.7544498443604;;;;
2003;;;;;;;;;;;;14.0235300064087;20.2870407104492;;;;
2004;;;;;;;;;;;;13.3209495544434;17.4326992034912;;;;
2005;0.51;5.44;9.43;10.2;51.31;47.94;0.36;0.59;;;;13.0178098678589;15.0581302642822;0.09375;0.9245098039215687;1.0702962035878183;0.6101694915254238
2006;;;;;;;;;5.82426706164517;12.5327454116074;22.2037499546486;;;;;;
2010;0.3;0.38;8.2;10.21;77.97;74.6;0.28;0.46;;;;;;0.7894736842105263;0.8031341821743387;1.0451742627345846;0.6086956521739131
2011;;;;;;;;;3.0;10.0;24.0;;;;;;
2015;;;;;;;;;;;;4.91304016113281;3.73136607719303;;;;
2016;;;;;;;;;2.0;8.0;22.0;;;;;;
2017;;;;;;;;;;;;6.27600002288818;16.4462045425905;;;;
2018;;;;;;;;;;;;9.30520092526825;11.3305050596805;;;;
2019;;;;;;;;;;;;8.29678069336686;7.7412952923927;;;;
2020;;;;;;;;;;;;8.14937182551853;9.18389214769726;;;;
2021;;;;;;;;;;;;3.81266301586032;11.1076570261309;;;;
2022;;;;;;;;;;;;5.7776985719876;3.30041905137483;;;;
2023;;;;;;;;;;;;6.0640471391014;9.63388997999167;;;;
